"","char.par_state","num.par_state","char.par_stateabbrv","char.par_cz","num.par_czname","num.kid_count","num.kid_count_g_m","num.kid_count_g_f","num.inventor","num.inventor_cat_1","num.inventor_cat_2","num.inventor_cat_3","num.inventor_cat_4","num.inventor_cat_5","num.inventor_cat_6","num.inventor_g_m","num.inventor_cat_1_g_m","num.inventor_cat_2_g_m","num.inventor_cat_3_g_m","num.inventor_cat_4_g_m","num.inventor_cat_5_g_m","num.inventor_cat_6_g_m","num.inventor_cat_7_g_m","num.inventor_g_f","num.inventor_cat_1_g_f","num.inventor_cat_2_g_f","num.inventor_cat_3_g_f","num.inventor_cat_4_g_f","num.inventor_cat_5_g_f","num.inventor_cat_6_g_f","num.inventor_cat_7_g_f"
"45","Mississippi",25,"MS","3202",424,5248,2585,2663,0.0001905,0,0.0001905,0,0,0,0,0.0003868,0,0.0003868,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","Mississippi",25,"MS","3203",638,6238,3076,3162,0.0004809,0.0001603,0.0001603,0,0,0,0.0001603,0.0009753,0.0003251,0.0003251,0,0,0,0.0003251,0,0,0,0,0,0,0,0,0
"47","Louisiana",19,"LA","3300",427,92264,45766,46479,0.0012356,8.67e-05,0.0003143,0.0001951,0.0001084,0.0001626,0.000271,0.0021195,0.000153,0.0005681,0.0002622,0.0001967,0.0002841,0.0005026,0.000153,0.0003658,2.15e-05,6.45e-05,0.0001291,2.15e-05,4.3e-05,4.3e-05,4.3e-05
"48","Louisiana",19,"LA","3400",278,20165,9942,10220,0.0007935,4.96e-05,0.0001488,0,4.96e-05,4.96e-05,0.0004959,0.0015088,0.0001006,0.0003018,0,0.0001006,0.0001006,0.0009053,0,9.78e-05,0,0,0,0,0,9.78e-05,0
"49","Louisiana",19,"LA","3500",42,54918,27508,27371,0.00122,0.0001275,0.0002913,0.0002731,7.28e-05,7.28e-05,0.0003278,0.0021085,0.0001454,0.0004362,0.0005089,0.0001454,0.0001454,0.000618,0.0001091,0.0003288,0.0001096,0.0001461,3.65e-05,0,0,3.65e-05,0
"50","Louisiana",19,"LA","3600",10,13406,6746,6659,0.0002984,7.46e-05,7.46e-05,0,7.46e-05,7.46e-05,0,0.0005929,0.0001482,0.0001482,0,0.0001482,0.0001482,0,0,0,0,0,0,0,0,0,0
"51","Louisiana",19,"LA","3700",325,23418,11775,11642,0.0008967,0.0002135,0.0001708,8.54e-05,8.54e-05,0,0.0002562,0.0014437,0.0003397,0.0003397,0.0001699,8.49e-05,0,0.0004246,8.49e-05,0.0003436,8.59e-05,0,0,8.59e-05,0,8.59e-05,8.59e-05
"52","Louisiana",19,"LA","3800",323,39161,19507,19651,0.0009448,2.55e-05,0.0002043,5.11e-05,7.66e-05,0.0001532,0.0003575,0.0016917,5.13e-05,0.0003588,5.13e-05,0.0001025,0.0003076,0.0007177,0.0001025,0.0002036,0,5.09e-05,5.09e-05,5.09e-05,0,0,5.09e-05
"53","Louisiana",19,"LA","3901",408,17884,8893,8991,0.0006151,5.59e-05,0.0002237,5.59e-05,0,5.59e-05,0.0002237,0.0011245,0.0001124,0.0004498,0,0,0.0001124,0.0004498,0,0.0001112,0,0,0.0001112,0,0,0,0
"54","Louisiana",19,"LA","3902",327,1640,791,849,0.0006098,0.0006098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011779,0.0011779,0,0,0,0,0,0
"55","Arkansas",4,"AR","4001",365,2303,1167,1136,0.0008684,0,0.0004342,0,0,0,0,0.0017138,0,0.0008569,0,0,0,0,0.0008569,0,0,0,0,0,0,0,0
"56","Louisiana",19,"LA","4002",557,34528,17390,17130,0.0006372,0,0.0001448,5.79e-05,2.9e-05,8.69e-05,0.0002317,0.0012076,0,0.0002875,0.000115,5.75e-05,0.0001725,0.00046,0.000115,5.84e-05,0,0,0,0,0,0,5.84e-05
"57","Louisiana",19,"LA","4003",523,4843,2429,2414,0.0008259,0.0002065,0,0,0,0,0.0002065,0.0008234,0.0004117,0,0,0,0,0.0004117,0,0.0008285,0,0,0,0,0,0,0.0008285
