par_cz,par_czname,par_state,par_stateabbrv,kid_count,inventor,inventor_cat_1,inventor_cat_2,inventor_cat_3,inventor_cat_4,inventor_cat_5,inventor_cat_6,inventor_cat_7,kid_count_g_m,inventor_g_m,inventor_cat_1_g_m,inventor_cat_2_g_m,inventor_cat_3_g_m,inventor_cat_4_g_m,inventor_cat_5_g_m,inventor_cat_6_g_m,inventor_cat_7_g_m,kid_count_g_f,inventor_g_f,inventor_cat_1_g_f,inventor_cat_2_g_f,inventor_cat_3_g_f,inventor_cat_4_g_f,inventor_cat_5_g_f,inventor_cat_6_g_f,inventor_cat_7_g_f
4002,Shreveport,Louisiana,LA,34528,0.0006372,0,0.0001448,0.0000579,0.000029,0.0000869,0.0002317,0.0000869,17390,0.0012076,0,0.0002875,0.000115,0.0000575,0.0001725,0.00046,0.000115,17130,0.0000584,0,0,0,0,0,0,0.0000584
4003,Ruston,Louisiana,LA,4843,0.0008259,0.0002065,0,0,0,0,0.0002065,0.000413,2429,0.0008234,0.0004117,0,0,0,0,0.0004117,0,2414,0.0008285,0,0,0,0,0,0,0.0008285
4004,Many,Louisiana,LA,1486,0.0013459,0,0,0,0.0006729,0.0006729,0,0,741,0.0026991,0,0,0,0.0013495,0.0013495,0,0,745,0,0,0,0,0,0,0,0
4101,Crossett,Arkansas,AR,1714,0,0,0,0,0,0,0,0,844,0,0,0,0,0,0,0,0,870,0,0,0,0,0,0,0,0
4102,Pine Bluff,Arkansas,AR,11446,0.0006116,0,0.0003495,0.0001747,0.0000874,0,0,0,5769,0.0006934,0,0.00052,0,0.0001733,0,0,0,5675,0.0005286,0,0.0001762,0.0003524,0,0,0,0
4103,El Dorado,Arkansas,AR,6306,0.0004757,0,0,0,0.0001586,0,0.0001586,0.0001586,3257,0.0009211,0,0,0,0.000307,0,0.000307,0.000307,3049,0,0,0,0,0,0,0,0
4200,Little Rock,Arkansas,AR,38748,0.0008258,0.0000516,0.0002839,0.000129,0.000129,0.0000516,0.0001548,0.0000258,19544,0.0014838,0.0001023,0.0005117,0.0002047,0.0002558,0.0001023,0.0002558,0.0000512,19202,0.0001562,0,0.0000521,0.0000521,0,0,0.0000521,0
4301,Stuttgart,Arkansas,AR,2722,0,0,0,0,0,0,0,0,1336,0,0,0,0,0,0,0,0,1386,0,0,0,0,0,0,0,0
4302,Searcy,Arkansas,AR,5606,0.0007135,0.0001784,0,0.0001784,0,0.0001784,0.0001784,0,2749,0.0014551,0.0003638,0,0.0003638,0,0.0003638,0.0003638,0,2856,0,0,0,0,0,0,0,0
4401,London,Kentucky,KY,7524,0.0005316,0.0001329,0,0.0001329,0,0.0001329,0,0.0001329,3813,0.0007868,0.0002623,0,0,0,0.0002623,0,0.0002623,3711,0.0002695,0,0,0.0002695,0,0,0,0
