"","char.par_state","num.par_state","char.par_stateabbrv","num.par_cz","char.par_czname","num.kid_count","num.kid_count_g_m","num.kid_count_g_f","num.inventor","log.num.inventor.na","num.inventor_cat_1","num.inventor_cat_2","num.inventor_cat_3","num.inventor_cat_4","num.inventor_cat_5","num.inventor_cat_6","num.inventor_g_m","log.num.inventor.g.m.na","num.inventor_cat_1_g_m","num.inventor_cat_2_g_m","num.inventor_cat_3_g_m","num.inventor_cat_4_g_m","num.inventor_cat_5_g_m","num.inventor_cat_6_g_m","num.inventor_cat_7_g_m","num.inventor_g_f","log.num.inventor.g.f.na","num.inventor_cat_1_g_f","num.inventor_cat_2_g_f","num.inventor_cat_3_g_f","num.inventor_cat_4_g_f","num.inventor_cat_5_g_f","num.inventor_cat_6_g_f","num.inventor_cat_7_g_f"
"57","Louisiana",19,"LA",4003,"Ruston",4843,2429,2414,0.0008259,-7.0990368571476,0.0002065,0,0,0,0,0.0002065,0.0008234,-7.10206844862847,0.0004117,0,0,0,0,0.0004117,0,0.0008285,-7.09589372109766,0,0,0,0,0,0,0.0008285
"60","Arkansas",4,"AR",4102,"Pine Bluff",11446,5769,5675,0.0006116,-7.39943208390937,0,0.0003495,0.0001747,8.74e-05,0,0,0.0006934,-7.27390352471335,0,0.00052,0,0.0001733,0,0,0,0.0005286,-7.54527855579409,0,0.0001762,0.0003524,0,0,0,0
"62","Arkansas",4,"AR",4200,"Little Rock",38748,19544,19202,0.0008258,-7.09915794451228,5.16e-05,0.0002839,0.000129,0.000129,5.16e-05,0.0001548,0.0014838,-6.51314891420885,0.0001023,0.0005117,0.0002047,0.0002558,0.0001023,0.0002558,5.12e-05,0.0001562,-8.76437332055869,0,5.21e-05,5.21e-05,0,0,5.21e-05,0
"65","Kentucky",18,"KY",4401,"London",7524,3813,3711,0.0005316,-7.53961923112518,0.0001329,0,0.0001329,0,0.0001329,0,0.0007868,-7.14753647144937,0.0002623,0,0,0,0.0002623,0,0.0002623,0.0002695,-8.21894216761522,0,0,0.0002695,0,0,0,0
"66","Kentucky",18,"KY",4402,"Richmond",5511,2731,2780,0.0007258,-7.2282360631853,0.0003629,0,0.0001815,0,0,0.0001815,0.0010985,-6.81380966613961,0.0007323,0,0.0003662,0,0,0,0,0.0003597,-7.9302402072627,0,0,0,0,0,0.0003597,0
"68","Kentucky",18,"KY",4502,"Hazard",6432,3240,3192,0.0006219,-7.38273124985443,0,0,0.0001555,0.0001555,0.0001555,0.0001555,0.0009259,-6.98474432051027,0,0,0.0003086,0.0003086,0.0003086,0,0,0.0003133,-8.06834936000613,0,0,0,0,0,0.0003133,0
"72","Mississippi",25,"MS",4702,"Clarksdale",9766,4861,4905,0.000512,-7.57718593292477,0.0001024,0.0001024,0,0,0.0001024,0,0.0008229,-7.10267587135261,0.0002057,0.0002057,0,0,0.0002057,0,0.0002057,0.0002039,-8.49788088038386,0,0,0,0,0,0,0.0002039
"74","Tennessee",43,"TN",4901,"Jackson",12086,6125,5961,0.0006619,-7.3203960708394,8.27e-05,0.0001655,0,8.27e-05,8.27e-05,8.27e-05,0.0011429,-6.77418638706072,0.0001633,0.0001633,0,0.0001633,0.0001633,0.0001633,0.0003265,0.0001678,-8.69273776393117,0,0.0001678,0,0,0,0,0
"77","Mississippi",25,"MS",5000,"Tupelo",13979,7064,6914,0.0004292,-7.75358754720773,0,0,7.15e-05,7.15e-05,0.0001431,0.0001431,0.0005663,-7.47638658484451,0,0,0,0,0.0002831,0.0002831,0,0.0002893,-8.14804634598218,0,0,0.0001446,0.0001446,0,0,0
"80","Tennessee",43,"TN",5202,"Memphis",75314,37887,37424,0.0011817,-6.7408011993193,0.0001195,0.0002523,0.0003452,0.0001062,0.0001062,0.0001461,0.0019796,-6.22486047488654,0.0002112,0.0004487,0.0005543,0.0001584,0.0001848,0.0002639,0.0001584,0.0003741,-7.89098741661017,2.67e-05,5.34e-05,0.0001336,5.34e-05,2.67e-05,2.67e-05,5.34e-05
